status,suite,datacenter,cron,name,host,desk
down,linux_script,chicago_7,"{""git_pull_cme_sun"": {""daymonth"": ""*"", ""minute"": ""50"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15-23""}, ""git_pull_cme_fri"": {""daymonth"": ""*"", ""minute"": ""50"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""0-16""}, ""git_pull_cme_mon-thur"": {""daymonth"": ""*"", ""minute"": ""50"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""*""}}",10,e7ch7ftp02.concord.global,house
up,helen,chicago_7,No cron,3,ch7pswtr129.concord.global,crude
up,order-router,chicago_7,No cron,3,e7ch7086,nat-gas-options
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",vmm_15,ny4psltr041.concord.global,volatility
up,drop,chicago_6,No cron,6,e7ch6030,house
down,linux_script,chicago_7,"{""helen_settles"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""23""}}",15,e7ch7ftp02.concord.global,house
up,drop,tokyo_2,No cron,1,tk2pswtr012.concord.global,house
up,order-router,chicago_7,No cron,2,e7ch70108,crude
up,feeder,chicago_7,No cron,7,ch7pswss137,house
down,ccs2-downloader,new_york_4,Cron disabled,2,e7ny4017.concord.global,house
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",tmm_01,ch6psltr083.concord.global,cpcv
down,downloader,chicago_7,No cron,1,ch7pswss137,house
up,sapphire,chicago_5,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",bgls_10,ch5psltr017.concord.global,bgls
down,sapphire,new_york_4,Cron disabled,equities_18,ny4psltr049.concord.global,equities
down,linux_script,chicago_7,"{""getEikonChat"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}}",47,e7ch7ftp02.concord.global,house
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",bgls_gump_01,e7ch6066.concord.global,bgls
down,linux_script,chicago_7,"{""onetick_secdef_copy_to_onetick_server"": {""daymonth"": ""*"", ""minute"": ""35"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",37,e7ch7ftp02.concord.global,house
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",bgls_07,ch6psltr075.concord.global,bgls
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",gas_05,ch6psltr050.concord.global,natgas
down,linux_script,chicago_7,Cron disabled,46,e7ch7ftp02.concord.global,house
up,drop,new_york_4,No cron,1,ny4pswtr039.concord.global,equities
up,drop,new_york_4,No cron,1,e7ny4010,house
up,order-router,chicago_7,No cron,8,e7ch7066,nat-gas
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""40"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""16""}}",hawk_2,ch6psltr078.concord.global,hawk
up,hydra,new_york_4,No cron,1,e7ny4038,equities
down,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}}",vmm_16,e7ny4025.concord.global,volatility
up,feeder,chicago_6,No cron,2,ch6pswss085.concord.global,house
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",enriched_zbbf_01,ch0pslss010.concord.global,ssvcs
down,downloader,chicago_5,Cron disabled,ideq_01,ch5pslss021.concord.global,No desk
down,sapphire,new_york_4,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}}",vmm_01,ny4pslss046.concord.global,volatility
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""05""}}",gas_03,ch6psltr087.concord.global,natgas
up,order-router,chicago_7,No cron,1,e7ch7086,nat-gas
up,hydra,chicago_6,No cron,2,e7ch6045,metals
up,hydra,chicago_7,No cron,1,e7ch70114,equities
